periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2026-03,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,40.00,,6627.00,6627.00,39,28,10,165.68
2024-05,Porción Frijol con Queso,Guarnicion,ORDEN,5.00,,25.00,25.00,3,0,0,5.00
2025-09,Gorditas Surtidas,Gordita,PIEZA,20.00,96.00,1632.00,1632.00,17,0,0,81.60
2025-07,Gorditas de Azúcar,Gordita,PIEZA,38.00,38.00,1444.00,1444.00,19,0,0,38.00
2024-10,Pieza Enchilada Roja,Enchilada,ORDEN,1.00,,23.00,23.00,1,0,0,23.00
2024-03,Orden de Guisado Normal,Guarnicion,ORDEN,4.00,,375.25,380.00,4,0,0,93.81
2025-03,Refresco 355 ml.,Bebida,ORDEN,74.00,,2368.00,2368.00,31,0,0,32.00
2023-11,Pieza Enchilada Roja,Enchilada,ORDEN,2.00,,40.00,40.00,2,0,0,20.00
2026-06,Plátano Frito,Otros,ORDEN,46.00,,1932.00,1932.00,37,0,0,42.00
2026-06,Jamaica Vaso,Bebida,ORDEN,515.00,,21682.00,21682.00,30,0,0,42.10
2024-12,Empanadas (4 pzas.),Empanada,ORDEN,151.00,,19267.00,19222.00,147,45,44,127.60
2025-01,Enfrijoladas,Enfrijolada,ORDEN,10.00,,1352.00,1352.00,9,3,1,135.20
2025-09,Limón 1 Litro,Bebida,ORDEN,31.00,,1959.00,1959.00,16,0,0,63.19
2026-02,Empanadas (4 pzas.),Empanada,ORDEN,105.00,,15894.00,15894.00,103,29,23,151.37
2026-03,Pieza Tortilla de Harina,Guarnicion,ORDEN,16.00,,80.00,80.00,6,0,0,5.00
2023-09,Enchiladas Picositas,Enchilada,ORDEN,29.00,,4250.00,4250.00,28,22,3,146.55
2025-05,Porción Ensalada,Guarnicion,ORDEN,5.00,,125.00,125.00,5,0,0,25.00
2025-12,1/2 Empanadas (2 pzas.),Empanada,ORDEN,108.00,,9804.00,9804.00,102,16,25,90.78
2025-08,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,33.00,,4928.00,5143.00,32,22,3,149.33
2025-05,Gorditas de Azúcar,Gordita,PIEZA,49.00,49.00,1862.00,1862.00,26,0,0,38.00
2025-11,Huevo Revuelto 2 pzas.,Huevos,ORDEN,4.00,,140.00,140.00,3,0,0,35.00
2026-07,Salsa Roja,Guarnicion,ORDEN,27.00,,133.30,134.00,8,0,0,4.94
2025-09,Plátano Frito,Otros,ORDEN,22.00,,836.00,836.00,19,0,0,38.00
2026-09,Limón 1 Litro,Bebida,ORDEN,2.00,,118.00,118.00,1,0,0,59.00
2024-04,Migada Guisado Normal,Migada,PIEZA,36.00,36.00,3503.35,3508.00,36,2,15,97.32
